,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
112,Inj-P19,67374.99851013765,93124.99745309127,8104.177734,8179.306274,2026,injector,0,10000
113,Inj-P20,67374.99851013765,94374.99769114009,8107.078735,8181.904907,2026,injector,0,10000
114,Inj-P21,31374.999034088833,75124.99831018885,8148.824341,8225.072754,2027,injector,0,10000
115,Inj-P22,31874.99901031443,76374.99735768889,8169.86084,8244.794434,2027,injector,0,10000
116,Inj-P23,32624.99897465283,77624.99759573767,8178.922119,8252.570557,2027,injector,0,10000
117,Inj-P24,33624.99892710403,78874.99783409126,8166.362183,8238.979248,2027,injector,0,10000
118,Inj-P25,35624.999129491225,81374.99831018886,8159.705688,8230.97168,2027,injector,0,10000
119,Inj-P26,36624.99908163763,82624.99735768889,8142.94458,8214.042969,2027,injector,0,10000
120,Inj-P27,37374.99874849124,83874.99640518893,8132.269775,8203.315186,2027,injector,0,10000
121,Inj-P28,38124.99841504005,85124.99783409126,8121.907471,8193.123169,2027,injector,0,10000
122,Inj-P29,38874.998676863244,86374.99688159129,8121.111206,8192.62854,2027,injector,0,10000
123,Inj-P30,39874.99862931444,87624.9971196401,8117.111694,8189.182739,2027,injector,0,10000
124,Inj-P31,46624.998605540044,94124.99621468893,8178.196167,8253.575928,2028,injector,0,10000
125,Inj-P32,47874.99884358884,94374.99769114009,8170.825195,8246.605469,2028,injector,0,10000
126,Inj-P33,49124.99789108887,94624.99797673768,8164.792969,8240.896728,2028,injector,0,10000
127,Inj-P34,50374.99931999123,94874.99588123774,8157.411499,8233.775879,2028,injector,0,10000
128,Inj-P35,51374.99808158886,95374.99645273772,8166.445679,8242.725342,2028,injector,0,10000
129,Inj-P36,53874.998557991246,95874.9970242377,8137.459229,8214.27002,2028,injector,0,10000
130,Inj-P37,55124.99760549128,95874.9970242377,8128.950195,8206.462646,2028,injector,0,10000
131,Inj-P38,56374.99903408883,95624.99673864011,8115.050049,8193.32959,2028,injector,0,10000
132,Inj-P39,57624.99808158886,95624.99673864011,8115.232178,8193.701538,2028,injector,0,10000
133,Inj-P40,58874.99712908889,95874.9970242377,8117.266113,8195.42334,2028,injector,0,10000
134,Inj-P41,60124.998557991246,96374.99759573769,8115.259644,8192.766479,2029,injector,0,10000
135,Inj-P42,60874.9970339913,97124.99607173774,8128.776978,8205.601807,2029,injector,0,10000
136,Inj-P43,61874.99817699126,97624.99664323771,8130.537231,8206.767578,2029,injector,0,10000
137,Inj-P44,63124.99722449129,98124.9972147377,8136.007324,8211.532227,2029,injector,0,10000
138,Inj-P45,64374.99865308885,98124.9972147377,8133.254639,8208.209228,2029,injector,0,10000
139,Inj-P46,65374.99860554005,97874.9969291401,8131.277344,8205.842773,2029,injector,0,10000
140,Inj-P47,66124.9970815401,97374.99635764012,8126.30481,8200.729736,2029,injector,0,10000
141,Inj-P48,66874.99793863767,96874.99816723766,8124.396118,8198.691406,2029,injector,0,10000
142,Inj-P49,67374.99851013765,96124.9973101401,8120.338623,8194.667603,2029,injector,0,10000
143,Inj-P50,67374.99851013765,95374.99645273772,8112.606201,8187.171509,2029,injector,0,10000
144,Inj-P51,45374.99836749126,93374.99773868888,8154.931397,8229.940918,2030,injector,0,10000
145,Inj-P52,44124.998129442465,92124.99631009132,8114.102905,8188.62915,2030,injector,0,10000
146,Inj-P53,42874.99848636325,90874.99726259128,8099.022095,8172.889893,2030,injector,0,10000
147,Inj-P54,41874.99853421685,89874.99611959132,8108.285767,8181.564575,2030,injector,0,10000
148,Inj-P55,40874.99858176565,88874.99735768889,8124.997925,8197.669312,2030,injector,0,10000
149,Inj-P56,30874.99905786323,73874.99807214006,8144.281128,8221.515137,2030,injector,0,10000
150,Inj-P57,30624.999069750433,72624.99783409126,8141.663696,8219.555664,2030,injector,0,10000
151,Inj-P58,30624.999069750433,71124.99731014008,8132.949585,8211.057373,2030,injector,0,10000
